,precision,recall,f1-score,support
animal fish,0.9921568627450981,0.9730769230769231,0.9825242718446602,520.0
animal fish bass,0.391304347826087,0.6923076923076923,0.5,13.0
fish sea_food black_sea_sprat,1.0,1.0,1.0,298.0
fish sea_food gilt_head_bream,1.0,0.9967213114754099,0.9983579638752053,305.0
fish sea_food hourse_mackerel,1.0,1.0,1.0,286.0
fish sea_food red_mullet,1.0,1.0,1.0,291.0
fish sea_food red_sea_bream,0.9963503649635036,1.0,0.9981718464351006,273.0
fish sea_food sea_bass,1.0,1.0,1.0,327.0
fish sea_food shrimp,1.0,1.0,1.0,289.0
fish sea_food striped_red_mullet,1.0,1.0,1.0,293.0
fish sea_food trout,1.0,1.0,1.0,292.0
accuracy,0.9940382805145905,0.9940382805145905,0.9940382805145905,0.9940382805145905
macro avg,0.9436192341395171,0.969282356987275,0.9526412801959061,3187.0
weighted avg,0.995924748912528,0.9940382805145905,0.9947953292808106,3187.0
