,precision,recall,f1-score,support
animal fish,0.9422310756972112,0.9096153846153846,0.9256360078277887,520.0
animal fish bass,0.27586206896551724,0.6153846153846154,0.38095238095238093,13.0
fish sea_food black_sea_sprat,0.9961240310077519,0.8624161073825504,0.9244604316546763,298.0
fish sea_food gilt_head_bream,0.9536423841059603,0.9442622950819672,0.9489291598023064,305.0
fish sea_food hourse_mackerel,0.9956896551724138,0.8076923076923077,0.8918918918918919,286.0
fish sea_food red_mullet,0.9930795847750865,0.9862542955326461,0.9896551724137931,291.0
fish sea_food red_sea_bream,0.8918032786885246,0.9963369963369964,0.9411764705882353,273.0
fish sea_food sea_bass,0.9571865443425076,0.9571865443425076,0.9571865443425076,327.0
fish sea_food shrimp,0.9372937293729373,0.9826989619377162,0.9594594594594594,289.0
fish sea_food striped_red_mullet,0.8542274052478134,1.0,0.9213836477987422,293.0
fish sea_food trout,0.9831649831649831,1.0,0.9915110356536503,292.0
accuracy,0.9406965798556637,0.9406965798556637,0.9406965798556637,0.9406965798556637
macro avg,0.8891186127764279,0.9147134098460629,0.8938402002168574,3187.0
weighted avg,0.9475113407257987,0.9406965798556637,0.9416310119609014,3187.0
