,precision,recall,f1-score,support
animal fish,0.8981818181818182,0.95,0.9233644859813084,520.0
animal fish bass,0.0,0.0,0.0,13.0
fish sea_food black_sea_sprat,0.0,0.0,0.0,298.0
fish sea_food gilt_head_bream,0.17831004657351962,0.8786885245901639,0.29646017699115046,305.0
fish sea_food hourse_mackerel,0.0,0.0,0.0,286.0
fish sea_food red_mullet,0.3767123287671233,0.18900343642611683,0.2517162471395881,291.0
fish sea_food red_sea_bream,0.0,0.0,0.0,273.0
fish sea_food sea_bass,0.0,0.0,0.0,327.0
fish sea_food shrimp,0.4533898305084746,0.740484429065744,0.5624178712220762,289.0
fish sea_food striped_red_mullet,0.14652014652014653,0.13651877133105803,0.1413427561837456,293.0
fish sea_food trout,0.6514522821576764,0.5376712328767124,0.5891181988742964,292.0
accuracy,0.3853153435833072,0.3853153435833072,0.3853153435833072,0.3853153435833072
macro avg,0.24586967751897804,0.3120333085717996,0.25131088512656047,3187.0
weighted avg,0.31228319035710556,0.3853153435833072,0.3199855729609392,3187.0
